fuelType,rating,renterTripsTaken,reviewCount,city,state,owner_id,dailyRate,make,model,type,year
GASOLINE,5,5,4,Dunwoody,GA,511103,89,Jeep,Grand Cherokee,suv,2017
GASOLINE,4.84,54,49,Atlanta,GA,10216804,40,Volkswagen,Passat,car,2012
HYBRID,5,6,2,Atlanta,GA,12800611,600,BMW,i8,car,2016
GASOLINE,4.89,26,19,Sandy Springs,GA,1251177,199,Land Rover,Range Rover Velar,suv,2018
ELECTRIC,5,7,3,Mableton,GA,217743,265,Tesla,Model 3,car,2020
ELECTRIC,5,36,34,Dunwoody,GA,8691695,200,Tesla,Model 3,car,2020
ELECTRIC,4.79,99,78,Atlanta,GA,6482788,120,Tesla,Model S,car,2013
HYBRID,4.83,23,18,East Point,GA,4782598,39,Toyota,Prius,car,2010
GASOLINE,4.94,39,36,Atlanta,GA,10413163,85,Mercedes-Benz,E-Class,car,2016
GASOLINE,4.79,45,38,Atlanta,GA,1426383,57,BMW,X5,suv,2009
GASOLINE,5,10,9,Atlanta,GA,1891792,57,Jeep,Compass,suv,2018
GASOLINE,5,4,4,Douglasville,GA,5133548,226,Polaris,Slingshot,car,2017
GASOLINE,4.86,27,22,Decatur,GA,7363993,44,Chevrolet,Cruze,car,2017
GASOLINE,4.97,41,35,Atlanta,GA,10413163,112,Jeep,Wrangler Unlimited,suv,2019
GASOLINE,4.67,3,3,Sandy Springs,GA,15346119,148,Chevrolet,Camaro,car,2015
GASOLINE,5,21,19,Atlanta,GA,5801653,153,Mercedes-Benz,E-Class,car,2014
GASOLINE,4.8,5,5,Sugar Hill,GA,6939498,74,Chrysler,300,car,2018
GASOLINE,4.69,14,13,Sandy Springs,GA,1251177,269,Maserati,Levante,suv,2020
GASOLINE,4.86,91,69,Atlanta,GA,7725344,129,Mercedes-Benz,E-Class,car,2012
GASOLINE,4.95,21,19,Atlanta,GA,10167863,84,Jeep,Wrangler,suv,2017
GASOLINE,5,9,8,Marietta,GA,14953193,58,Hyundai,Genesis,car,2014
GASOLINE,,0,0,Atlanta,GA,1057995,150,BMW,X5,suv,2015
GASOLINE,4.9,159,146,Atlanta,GA,1426383,33,Nissan,Sentra,car,2017
GASOLINE,4.86,82,70,Decatur,GA,1661563,50,Toyota,Camry,car,2017
GASOLINE,4.67,84,70,Atlanta,GA,1426383,47,BMW,3 Series,car,2011
GASOLINE,4.89,10,9,Marietta,GA,15185267,50,Toyota,RAV4,suv,2017
GASOLINE,,0,0,Stockbridge,GA,10439598,150,Chevrolet,Tahoe,suv,2015
GASOLINE,5,71,63,Suwanee,GA,312450,99,Mazda,MX-5 Miata,car,2016
GASOLINE,5,2,2,Conyers,GA,15693009,71,Dodge,Grand Caravan,minivan,2016
GASOLINE,4.86,75,66,Decatur,GA,1661563,56,Toyota,Camry,car,2018
GASOLINE,,0,0,Powder Springs,GA,8952295,140,BMW,X4,suv,2020
GASOLINE,5,3,3,Lithonia,GA,7363993,45,Chevrolet,Cruze,car,2017
HYBRID,4.81,106,88,Decatur,GA,1661563,64,Lexus,HS 250h,car,2010
GASOLINE,4.72,67,64,Atlanta,GA,7221030,70,Audi,A4,car,2012
GASOLINE,4.92,159,139,Forest Park,GA,1727097,52,Kia,Optima,car,2013
GASOLINE,5,12,9,Decatur,GA,1661563,60,Toyota,Sienna,minivan,2012
GASOLINE,,0,0,Stone Mountain,GA,5162679,67,Toyota,Camry,car,2020
GASOLINE,5,3,3,Atlanta,GA,15622497,48,Jeep,Patriot,suv,2015
GASOLINE,5,11,6,Decatur,GA,14910142,132,Mercedes-Benz,CLA-Class,car,2018
GASOLINE,4.9,66,49,Decatur,GA,1661563,54,Toyota,Camry,car,2018
GASOLINE,4.88,59,52,Norcross,GA,3698495,63,Ford,Escape,suv,2017
GASOLINE,4.83,44,36,Decatur,GA,1661563,54,Toyota,Camry,car,2017
GASOLINE,5,10,10,Sandy Springs,GA,14634339,176,Chevrolet,Suburban,suv,2019
GASOLINE,4.97,41,37,McDonough,GA,10244672,90,Lexus,IS 250,car,2015
GASOLINE,4.87,66,54,Norcross,GA,3698495,62,Ford,Focus,car,2018
ELECTRIC,5,4,2,McDonough,GA,7934891,800,Tesla,Model X,suv,2019
GASOLINE,5,10,8,Atlanta,GA,1886829,299,Land Rover,Range Rover,suv,2020
GASOLINE,4.8,5,5,Duluth,GA,886557,216,Audi,A8,car,2015
GASOLINE,4.91,36,34,Atlanta,GA,3659271,99,BMW,4 Series Gran Coupe,car,2016
GASOLINE,4.86,73,64,Covington,GA,1238898,50,Nissan,Altima,car,2015
GASOLINE,5,27,23,Marietta,GA,735348,125,Ford,F-150,truck,2019
GASOLINE,4.73,56,51,Decatur,GA,1661563,45,Toyota,Yaris iA,car,2017
GASOLINE,4.7,100,81,Atlanta,GA,7221030,50,Buick,LaCrosse,car,2016
GASOLINE,5,18,14,Snellville,GA,308839,53,Acura,TSX,car,2011
GASOLINE,4.85,34,33,McDonough,GA,10244672,90,Lexus,IS 250,car,2015
GASOLINE,4.73,52,37,Atlanta,GA,7221030,58,Volkswagen,Tiguan,suv,2011
HYBRID,4.88,52,40,Decatur,GA,1661563,43,Toyota,Camry,car,2008
GASOLINE,,0,0,Stonecrest,GA,15739167,103,Lexus,IS 250,car,2014
GASOLINE,4.88,19,17,Snellville,GA,308839,52,Acura,TSX,car,2011
HYBRID,4.86,66,56,Austin,TX,4353395,37,Toyota,Prius v,car,2012
GASOLINE,4.98,60,47,Austin,TX,988215,38,Volkswagen,Jetta,car,2017
GASOLINE,4.97,39,35,Austin,TX,10089647,35,Kia,Soul,car,2018
GASOLINE,4.81,51,43,Austin,TX,8421016,37,Hyundai,Elantra,car,2015
HYBRID,4.99,107,90,Austin,TX,4353395,35,Toyota,Prius,car,2010
HYBRID,4.91,89,75,Austin,TX,4353395,35,Toyota,Prius,car,2010
HYBRID,4.86,109,91,Austin,TX,4353395,35,Lexus,HS 250h,car,2011
GASOLINE,,3,0,Austin,TX,14404790,35,FIAT,500,car,2012
GASOLINE,5,4,3,Austin,TX,7095382,24,Kia,Rio,car,2009
HYBRID,4.9,61,49,Austin,TX,4353395,31,Toyota,Prius,car,2010
GASOLINE,4.63,54,48,Del Valle,TX,11279587,32,Honda,Accord,car,2011
HYBRID,4.95,120,100,Austin,TX,4353395,41,Lexus,CT 200h,car,2012
GASOLINE,4.95,20,20,Del Valle,TX,11279587,58,BMW,5 Series,car,2016
GASOLINE,5,14,11,Austin,TX,914019,42,BMW,3 Series,car,2011
GASOLINE,4.92,59,49,Austin,TX,914019,43,Mercedes-Benz,C-Class,car,2009
GASOLINE,4.92,30,24,Austin,TX,5343023,34,FIAT,500,car,2013
GASOLINE,4.8,25,20,Austin,TX,8421016,49,BMW,3 Series,car,2016
GASOLINE,4.98,58,50,Austin,TX,8793776,59,Mercedes-Benz,CLA-Class,car,2015
HYBRID,,0,0,Austin,TX,4353395,38,Lexus,CT 200h,car,2012
GASOLINE,5,30,25,Austin,TX,914019,43,BMW,X1,suv,2013
GASOLINE,5,44,39,Austin,TX,914019,43,BMW,3 Series,car,2009
GASOLINE,4.95,22,22,Austin,TX,14602921,58,Mercedes-Benz,CLA-Class,car,2017
GASOLINE,5,3,3,Austin,TX,10089647,37,Hyundai,Elantra GT,car,2017
GASOLINE,4.92,29,26,Austin,TX,8421016,35,Hyundai,Sonata,car,2019
HYBRID,3.86,10,7,Del Valle,TX,11279587,31,Toyota,Prius c,car,2012
GASOLINE,4.95,49,39,Manor,TX,9046223,99,Alfa-romeo,Giulia,car,2019
GASOLINE,5,27,23,Austin,TX,9463179,89,GMC,Sierra 1500,truck,2016
GASOLINE,5,5,4,Manor,TX,13858730,60,Chevrolet,Camaro,car,2018
ELECTRIC,5,21,18,Cedar Park,TX,1351290,175,Tesla,Model X,suv,2017
GASOLINE,5,23,20,Austin,TX,914019,32,Toyota,Yaris,car,2008
GASOLINE,5,10,10,Austin,TX,7376797,107,BMW,5 Series,car,2018
GASOLINE,5,26,21,Austin,TX,10147412,105,Porsche,Boxster,car,2014
GASOLINE,4.87,58,46,Manor,TX,9046223,80,Mercedes-Benz,CLA-Class,car,2018
GASOLINE,4.91,108,96,Austin,TX,8755908,69,Mercedes-benz,GLC-Class,suv,2019
GASOLINE,4.89,25,18,Austin,TX,988215,39,Chevrolet,Trax,suv,2018
GASOLINE,5,22,17,Austin,TX,4471592,91,Chevrolet,Corvette,car,2007
GASOLINE,5,22,20,Austin,TX,7649574,55,BMW,4 Series,car,2018
GASOLINE,5,2,2,Austin,TX,2130021,70,Mercedes-Benz,C-Class,car,2016
GASOLINE,5,7,6,Round Rock,TX,5880880,56,Land Rover,Range Rover Evoque,suv,2015
GASOLINE,4.85,42,39,Austin,TX,6510847,31,Nissan,Sentra,car,2017
GASOLINE,5,11,7,Austin,TX,5793069,126,Ford,Mustang,car,2016
GASOLINE,4.93,64,56,Manor,TX,9046223,80,Mercedes-Benz,CLA-Class,car,2017
ELECTRIC,4.96,29,28,Leander,TX,10817313,121,Tesla,Model 3,car,2020
ELECTRIC,5,1,1,Round Rock,TX,11986021,70,Tesla,Model 3,car,2020
GASOLINE,5,21,18,Austin,TX,9113625,35,Ford,Mustang,car,2014
GASOLINE,5,1,1,Austin,TX,15054209,135,Mercedes-Benz,SL-Class,car,2017
GASOLINE,5,15,14,Austin,TX,7107554,75,Audi,S5,car,2015
ELECTRIC,4.83,14,12,Lakeway,TX,3037579,199,Tesla,Model S,car,2018
HYBRID,4.79,52,43,Austin,TX,2693957,31,Toyota,Prius,car,2008
GASOLINE,,0,0,Austin,TX,7107554,175,BMW,M4,car,2016
GASOLINE,5,1,1,Austin,TX,1849874,59,Volkswagen,Atlas Cross Sport,suv,2020
GASOLINE,4.95,104,88,Austin,TX,4022601,129,Chevrolet,Corvette,car,2019
GASOLINE,5,17,17,Leander,TX,10817313,96,Polaris,Slingshot,car,2019
GASOLINE,5,30,30,Round Rock,TX,4738959,87,Dodge,Challenger,car,2015
GASOLINE,5,6,5,Round Rock,TX,268973,60,Ford,Mustang,car,2018
GASOLINE,5,43,30,Austin,TX,4022601,199,Dodge,Challenger,car,2019
GASOLINE,5,1,1,Austin,TX,11222799,95,Mercedes-benz,GLC-Class,suv,2019
GASOLINE,4.87,18,15,Austin,TX,305300,60,Toyota,4Runner,suv,2016
ELECTRIC,4.85,16,13,Round Rock,TX,1351290,99,Tesla,Model 3,car,2018
ELECTRIC,,0,0,Cedar Park,TX,1351290,250,Tesla,Model Y,suv,2020
GASOLINE,4.75,14,12,Austin,TX,4742782,99,Porsche,Cayenne,suv,2014
GASOLINE,5,3,3,Round Rock,TX,10240102,85,BMW,5 Series,car,2014
GASOLINE,,0,0,Austin,TX,9921706,66,Mercedes-benz,C-Class,car,2019
GASOLINE,4.99,80,67,Austin,TX,526216,79,Mercedes-Benz,E-Class,car,2017
GASOLINE,5,57,53,Austin,TX,526216,149,Chevrolet,Corvette,car,2019
ELECTRIC,5,15,14,Cedar Park,TX,1351290,84,Tesla,Model 3,car,2019
HYBRID,5,28,26,Austin,TX,1432343,169,Land Rover,Range Rover Sport,suv,2020
GASOLINE,5,2,2,Austin,TX,14821685,65,Audi,TTS,car,2010
HYBRID,4.82,83,61,Del Valle,TX,226203,29,Toyota,Prius,car,2009
GASOLINE,4.66,43,32,Del Valle,TX,226203,29,Lexus,ES 350,car,2009
GASOLINE,4.97,37,34,Austin,TX,526216,79,Toyota,Sequoia,suv,2018
GASOLINE,4.7,114,82,Del Valle,TX,226203,29,Toyota,Camry,car,2010
GASOLINE,4.98,55,49,Cedar Park,TX,2205924,42,Toyota,Camry,car,2017
GASOLINE,5,5,5,Austin,TX,15054209,89,BMW,X6,suv,2016
GASOLINE,5,3,3,Austin,TX,15215074,230,Maserati,Ghibli,car,2019
